index,post_id,topic,topic_label,aspect,aspect_label,polarity,polarity_label,place,actors,facilities,cue,language,language_name,text
33,ai_datacenters_polarity_against_229,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,Japan's Tohoku rebuild zones,startup GPU cloud firms,research supercomputer halls,add continuous industrial noise next to homes,en,English,Against take on Japan's Tohoku rebuild zones: block the next research supercomputer halls. Startup GPU cloud firms keep selling growth while they add continuous industrial noise next to homes. No more blank checks.
34,ai_datacenters_polarity_against_128,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,the Pacific Northwest,AI labs,liquid-cooled clusters,turn schools into bargaining chips for abatements,en,English,Against more AI datacenters in my book. Slowing liquid-cooled clusters near the Pacific Northwest is justified when AI labs turn schools into bargaining chips for abatements. No more blank checks.
35,ai_datacenters_polarity_pro_085,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,pro,Pro,Quebec's hydropower belt,REIT-backed campus developers,behind-the-meter solar campuses,convert empty retail pads into training centers,en,English,"Greenlight the campuses. In Quebec's hydropower belt, more behind-the-meter solar campuses from REIT-backed campus developers can convert empty retail pads into training centers. That is why I support the expansion. I'm here for the buildout."
36,ai_datacenters_polarity_against_036,ai_datacenters,Increasing number of AI datacenters,economic,Economic,against,Against,Ohio's Rust Belt towns,regional economic-development agencies,liquid-cooled clusters,inflate industrial power rates for everyone else,en,English,"Hard no on endless AI datacenter expansion. In Ohio's Rust Belt towns, more liquid-cooled clusters from regional economic-development agencies mostly inflate industrial power rates for everyone else. That is a reason to resist the boom. Opposition is the responsible stance."
37,ai_datacenters_polarity_pro_140,ai_datacenters,Increasing number of AI datacenters,technological,Technological,pro,Pro,Spain's solar belt,REIT-backed campus developers,multi-gigawatt campuses,concentrate R&D where talent and power already meet,en,English,"Count me as a yes on the buildout. In Spain's solar belt, more multi-gigawatt campuses from REIT-backed campus developers can concentrate R&D where talent and power already meet. That is why I support the expansion. Capacity is policy."
38,ai_datacenters_polarity_against_283,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,eastern Oregon,telecom carriers,edge AI pods,leave neighbors with light pollution and truck traffic,en,English,This expansion is a bad deal. Slowing edge AI pods near eastern Oregon is justified when telecom carriers leave neighbors with light pollution and truck traffic. Protect the commons first.
39,ai_datacenters_polarity_neutral_212,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,neutral,Neutral,eastern Oregon,national labs,liquid-cooled clusters,civic trust after rushed permit processes,en,English,Parking the yes/no on AI datacenters for now. Re: liquid-cooled clusters around eastern Oregon — boosters and critics both cite civic trust after rushed permit processes. No banner from me yet. I need receipts before choosing.
40,ai_datacenters_polarity_pro_238,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,pro,Pro,Finland's cold-climate parks,telecom carriers,behind-the-meter solar campuses,modernize substations communities already needed,en,English,"Say it plainly: we need the capacity. In Finland's cold-climate parks, more behind-the-meter solar campuses from telecom carriers can modernize substations communities already needed. That is why I support the expansion. Capacity is policy."
41,ai_datacenters_polarity_pro_249,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,pro,Pro,Ohio's Rust Belt towns,startup GPU cloud firms,AI training campuses,keep frontier training capacity on allied soil,en,English,I'm for more AI datacenters. The case in Ohio's Rust Belt towns is straightforward: startup GPU cloud firms' AI training campuses help keep frontier training capacity on allied soil. AI datacenter growth is good policy here. Capacity is policy.
42,ai_datacenters_polarity_neutral_004,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,neutral,Neutral,Poland's logistics corridor,state investment boards,research supercomputer halls,school funding versus industrial rate pressure,en,English,Open question: should we keep adding campuses? Re: research supercomputer halls around Poland's logistics corridor — boosters and critics both cite school funding versus industrial rate pressure. No banner from me yet. Show me cleaner evidence either way.
43,ai_datacenters_polarity_neutral_282,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,neutral,Neutral,central Texas,defense contractors,research supercomputer halls,who pays for interconnect upgrades,en,English,"Neutral note on central Texas: if defense contractors add more research supercomputer halls, I'm watching who pays for interconnect upgrades before I cheer or protest. Still collecting local data."
44,ai_datacenters_polarity_against_052,ai_datacenters,Increasing number of AI datacenters,technological,Technological,against,Against,Ohio's Rust Belt towns,construction consortia,subsea-cable landing campuses,optimize for closed models instead of public compute,en,English,"Hard no on endless AI datacenter expansion. In Ohio's Rust Belt towns, more subsea-cable landing campuses from construction consortia mostly optimize for closed models instead of public compute. That is a reason to resist the boom. Opposition is the responsible stance."
45,ai_datacenters_polarity_neutral_169,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,Poland's logistics corridor,sovereign wealth funds,nuclear-adjacent compute parks,safety margins at extreme rack densities,en,English,"Parking the yes/no on AI datacenters for now. Flagging nuclear-adjacent compute parks in Poland's logistics corridor without a verdict. The live issue is safety margins at extreme rack densities. Tradeoffs first, slogans later."
46,ai_datacenters_polarity_against_262,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,eastern Oregon,startup GPU cloud firms,multi-gigawatt campuses,export control workarounds via third-country campuses,en,English,This expansion is a bad deal. The eastern Oregon story is clear enough: startup GPU cloud firms' multi-gigawatt campuses tend to export control workarounds via third-country campuses. I don't want more AI datacenters. Enough is enough.
47,ai_datacenters_polarity_neutral_217,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,Spain's solar belt,national labs,waste-heat district heating sites,open-access quotas versus reserved enterprise capacity,en,English,"Neutral note on Spain's solar belt: if national labs add more waste-heat district heating sites, I'm watching open-access quotas versus reserved enterprise capacity before I cheer or protest. I need receipts before choosing."
48,ai_datacenters_polarity_against_048,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,against,Against,Finland's cold-climate parks,private equity funds,liquid-cooled clusters,drain aquifers in drought-stressed basins,en,English,"Against more AI datacenters in my book. In Finland's cold-climate parks, more liquid-cooled clusters from private equity funds mostly drain aquifers in drought-stressed basins. That is a reason to resist the boom. Enough is enough."
49,ai_datacenters_polarity_against_006,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,northern Virginia,private equity funds,modular container datacenters,militarize civilian grids under dual-use cover,en,English,Against take on northern Virginia: block the next modular container datacenters. Private equity funds keep selling growth while they militarize civilian grids under dual-use cover. Protect the commons first.
50,ai_datacenters_polarity_against_074,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,central Texas,startup GPU cloud firms,black-start resilient bunkers,hollow out civic life into permit fights,en,English,Hit the brakes on new campuses. Slowing black-start resilient bunkers near central Texas is justified when startup GPU cloud firms hollow out civic life into permit fights. Enough is enough.
51,ai_datacenters_polarity_against_119,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,eastern Oregon,regional economic-development agencies,edge AI pods,turn schools into bargaining chips for abatements,en,English,Against more AI datacenters in my book. The eastern Oregon story is clear enough: regional economic-development agencies' edge AI pods tend to turn schools into bargaining chips for abatements. I don't want more AI datacenters. Protect the commons first.
52,ai_datacenters_polarity_against_238,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,Poland's logistics corridor,startup GPU cloud firms,waste-heat district heating sites,steamroll zoning with state preemption bills,en,English,Against more AI datacenters in my book. The Poland's logistics corridor story is clear enough: startup GPU cloud firms' waste-heat district heating sites tend to steamroll zoning with state preemption bills. I don't want more AI datacenters. No more blank checks.
53,ai_datacenters_polarity_neutral_090,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,neutral,Neutral,Morocco's Atlantic coast,telecom carriers,multi-gigawatt campuses,domestic buildouts that still depend on foreign chips,en,English,"Not picking a side on more campuses yet. On Morocco's Atlantic coast, people argue about whether telecom carriers' multi-gigawatt campuses help or hurt — especially domestic buildouts that still depend on foreign chips. I need receipts before choosing."
54,ai_datacenters_polarity_against_144,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,the Pacific Northwest,AI labs,modular container datacenters,militarize civilian grids under dual-use cover,en,English,Against more AI datacenters in my book. Slowing modular container datacenters near the Pacific Northwest is justified when AI labs militarize civilian grids under dual-use cover. Protect the commons first.
55,ai_datacenters_polarity_pro_107,ai_datacenters,Increasing number of AI datacenters,economic,Economic,pro,Pro,Midwest farm counties,colocation operators,nuclear-adjacent compute parks,stabilize municipal budgets after plant closures,en,English,"Pro take on Midwest farm counties: back the nuclear-adjacent compute parks. When colocation operators scale responsibly, they stabilize municipal budgets after plant closures. I'm for more AI datacenters. Approve the next round."
56,ai_datacenters_polarity_pro_186,ai_datacenters,Increasing number of AI datacenters,technological,Technological,pro,Pro,Midwest farm counties,colocation operators,liquid-cooled clusters,let startups rent frontier GPUs without owning fabs,en,English,"Pro take on Midwest farm counties: back the liquid-cooled clusters. When colocation operators scale responsibly, they let startups rent frontier GPUs without owning fabs. I'm for more AI datacenters. Expansion is the right call."
57,ai_datacenters_polarity_pro_079,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,pro,Pro,Japan's Tohoku rebuild zones,national labs,inference megacampuses,deter adversaries by scaling trusted infrastructure,en,English,I'm for more AI datacenters. The case in Japan's Tohoku rebuild zones is straightforward: national labs' inference megacampuses help deter adversaries by scaling trusted infrastructure. AI datacenter growth is good policy here. Approve the next round.
58,ai_datacenters_polarity_against_017,ai_datacenters,Increasing number of AI datacenters,economic,Economic,against,Against,Poland's logistics corridor,REIT-backed campus developers,behind-the-meter solar campuses,bid up housing costs faster than wages rise,en,English,Against take on Poland's logistics corridor: block the next behind-the-meter solar campuses. REIT-backed campus developers keep selling growth while they bid up housing costs faster than wages rise. No more blank checks.
59,ai_datacenters_polarity_against_085,ai_datacenters,Increasing number of AI datacenters,technological,Technological,against,Against,Chile's Atacama edge,private equity funds,GPU-dense halls,overbuild GPU halls that sit half-idle after the hype,en,English,"Hard no on endless AI datacenter expansion. In Chile's Atacama edge, more GPU-dense halls from private equity funds mostly overbuild GPU halls that sit half-idle after the hype. That is a reason to resist the boom. Enough is enough."
60,ai_datacenters_polarity_pro_163,ai_datacenters,Increasing number of AI datacenters,technological,Technological,pro,Pro,Finland's cold-climate parks,REIT-backed campus developers,modular container datacenters,push networking standards that cut idle capacity,en,English,I'm bullish on more AI datacenters. The case in Finland's cold-climate parks is straightforward: REIT-backed campus developers' modular container datacenters help push networking standards that cut idle capacity. AI datacenter growth is good policy here. Let's build.
61,ai_datacenters_polarity_neutral_143,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,neutral,Neutral,Morocco's Atlantic coast,defense contractors,research supercomputer halls,housing supply responses to new payrolls,en,English,"The buildout debate isn't settled for me. Re: research supercomputer halls around Morocco's Atlantic coast — boosters and critics both cite housing supply responses to new payrolls. No banner from me yet. Tradeoffs first, slogans later."
62,ai_datacenters_polarity_against_240,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,against,Against,Gulf Coast industrial zones,utility companies,research supercomputer halls,lock in gas peakers for 'temporary' firming,en,English,Against take on Gulf Coast industrial zones: block the next research supercomputer halls. Utility companies keep selling growth while they lock in gas peakers for 'temporary' firming. No more blank checks.
63,ai_datacenters_polarity_pro_131,ai_datacenters,Increasing number of AI datacenters,economic,Economic,pro,Pro,northern Virginia,private equity funds,research supercomputer halls,stabilize municipal budgets after plant closures,en,English,"Pro take on northern Virginia: back the research supercomputer halls. When private equity funds scale responsibly, they stabilize municipal budgets after plant closures. I'm for more AI datacenters. Let's build."
64,ai_datacenters_polarity_pro_144,ai_datacenters,Increasing number of AI datacenters,economic,Economic,pro,Pro,Georgia's coastal plain,private equity funds,research supercomputer halls,stabilize municipal budgets after plant closures,en,English,"Build the campuses. Don't slow-walk research supercomputer halls around Georgia's coastal plain. Done right by private equity funds, the buildout will stabilize municipal budgets after plant closures. Capacity is policy."
65,ai_datacenters_polarity_neutral_030,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,neutral,Neutral,Chile's Atacama edge,energy traders,nuclear-adjacent compute parks,civic trust after rushed permit processes,en,English,Holding judgment on AI datacenter expansion. Re: nuclear-adjacent compute parks around Chile's Atacama edge — boosters and critics both cite civic trust after rushed permit processes. No banner from me yet. Still collecting local data.
66,ai_datacenters_polarity_pro_061,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,pro,Pro,the Nordics,utility companies,research supercomputer halls,negotiate real community-benefit agreements,en,English,"Build the campuses. Don't slow-walk research supercomputer halls around the Nordics. Done right by utility companies, the buildout will negotiate real community-benefit agreements. I'm here for the buildout."
67,ai_datacenters_polarity_pro_045,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,pro,Pro,Midwest farm counties,startup GPU cloud firms,sovereign compute hubs,pay for resilient black-start capacity,en,English,"I'm bullish on more AI datacenters. In Midwest farm counties, more sovereign compute hubs from startup GPU cloud firms can pay for resilient black-start capacity. That is why I support the expansion. Let's build."
68,ai_datacenters_polarity_neutral_028,ai_datacenters,Increasing number of AI datacenters,economic,Economic,neutral,Neutral,Australia's renewable zones,national labs,waste-heat district heating sites,boom-town risk if a single tenant leaves,en,English,"Neutral note on Australia's renewable zones: if national labs add more waste-heat district heating sites, I'm watching boom-town risk if a single tenant leaves before I cheer or protest. Show me cleaner evidence either way."
69,ai_datacenters_polarity_against_133,ai_datacenters,Increasing number of AI datacenters,technological,Technological,against,Against,Morocco's Atlantic coast,startup GPU cloud firms,multi-gigawatt campuses,waste cooling capacity on vanity cluster sizes,en,English,Against take on Morocco's Atlantic coast: block the next multi-gigawatt campuses. Startup GPU cloud firms keep selling growth while they waste cooling capacity on vanity cluster sizes. Protect the commons first.
70,ai_datacenters_polarity_neutral_264,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,Georgia's coastal plain,energy traders,waste-heat district heating sites,utilization rates after the first training boom,en,English,Open question: should we keep adding campuses? Flagging waste-heat district heating sites in Georgia's coastal plain without a verdict. The live issue is utilization rates after the first training boom. I need receipts before choosing.
71,ai_datacenters_polarity_pro_197,ai_datacenters,Increasing number of AI datacenters,technological,Technological,pro,Pro,the Nordics,REIT-backed campus developers,edge AI pods,push networking standards that cut idle capacity,en,English,"Say it plainly: we need the capacity. In the Nordics, more edge AI pods from REIT-backed campus developers can push networking standards that cut idle capacity. That is why I support the expansion. Approve the next round."
72,ai_datacenters_polarity_neutral_176,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,Arizona's desert corridor,startup GPU cloud firms,edge AI pods,whether smaller distributed pods beat megacampuses,en,English,"Neutral note on Arizona's desert corridor: if startup GPU cloud firms add more edge AI pods, I'm watching whether smaller distributed pods beat megacampuses before I cheer or protest. Show me cleaner evidence either way."
73,ai_datacenters_polarity_pro_185,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,pro,Pro,Finland's cold-climate parks,REIT-backed campus developers,nuclear-adjacent compute parks,underwrite fiber laterals to rural towns,en,English,"I'm bullish on more AI datacenters. Don't slow-walk nuclear-adjacent compute parks around Finland's cold-climate parks. Done right by REIT-backed campus developers, the buildout will underwrite fiber laterals to rural towns. Approve the next round."
74,ai_datacenters_polarity_against_145,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,against,Against,upstate New York,construction consortia,multi-gigawatt campuses,clog roads with construction traffic for years,en,English,"I'm against the AI datacenter surge. In upstate New York, more multi-gigawatt campuses from construction consortia mostly clog roads with construction traffic for years. That is a reason to resist the boom. Opposition is the responsible stance."
75,ai_datacenters_polarity_against_253,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,the Pacific Northwest,construction consortia,GPU-dense halls,turn schools into bargaining chips for abatements,en,English,This expansion is a bad deal. Slowing GPU-dense halls near the Pacific Northwest is justified when construction consortia turn schools into bargaining chips for abatements. Reject the next campus.
