user_id,profile_id,profile_label,n_posts,w0,w1,w2,gt_w0,gt_w1,gt_w2,assignment_type,topic_distribution,empirical_topic_distribution
user_0011,balanced,Even across all topics,100,0.39307683864270704,0.3113130887876145,0.2956100725696785,0.34,0.38,0.28,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.34, ""ai_copyright_theft"": 0.38, ""ai_mass_surveillance"": 0.28}"
user_0012,coding_copyright,Split: coding + copyright,100,0.4034026185594104,0.397776481910976,0.19882089952961368,0.36,0.56,0.08,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.36, ""ai_copyright_theft"": 0.56, ""ai_mass_surveillance"": 0.08}"
user_0013,coding_surveillance,Split: coding + surveillance,100,0.456710661837639,0.17108553813685612,0.3722038000255049,0.46,0.09,0.45,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.46, ""ai_copyright_theft"": 0.09, ""ai_mass_surveillance"": 0.45}"
user_0014,copyright_surveillance,Split: copyright + surveillance,100,0.26638524884883913,0.36568518467764544,0.3679295664735153,0.1,0.49,0.41,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.49, ""ai_mass_surveillance"": 0.41}"
user_0015,coding_heavy,Mostly AI coding innovations,100,0.6518190125618999,0.1688361661951103,0.1793448212429898,0.83,0.09,0.08,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.83, ""ai_copyright_theft"": 0.09, ""ai_mass_surveillance"": 0.08}"
user_0016,copyright_heavy,Mostly AI copyright / theft concerns,100,0.24483896281314033,0.5439085983253585,0.21125243886150105,0.06,0.86,0.08,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.06, ""ai_copyright_theft"": 0.86, ""ai_mass_surveillance"": 0.08}"
user_0017,surveillance_heavy,Mostly AI mass surveillance,100,0.26683874021164455,0.18770494637498625,0.5454563134133691,0.1,0.12,0.78,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.12, ""ai_mass_surveillance"": 0.78}"
user_0018,balanced,Even across all topics,100,0.4089699737872911,0.28226904701352823,0.3087609791991806,0.37,0.32,0.31,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.37, ""ai_copyright_theft"": 0.32, ""ai_mass_surveillance"": 0.31}"
user_0019,coding_copyright,Split: coding + copyright,100,0.493243100292311,0.3197785593203753,0.18697834038731376,0.53,0.4,0.07,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.53, ""ai_copyright_theft"": 0.4, ""ai_mass_surveillance"": 0.07}"
user_0020,coding_surveillance,Split: coding + surveillance,100,0.47251800131898974,0.17571343333894862,0.35176856534206163,0.49,0.1,0.41,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.49, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.41}"
user_0021,copyright_surveillance,Split: copyright + surveillance,100,0.26645878798875355,0.3368235244123493,0.3967176875988972,0.1,0.43,0.47,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.43, ""ai_mass_surveillance"": 0.47}"
user_0022,coding_heavy,Mostly AI coding innovations,100,0.6096456797394328,0.16451224017433488,0.22584208008623233,0.75,0.08,0.17,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.75, ""ai_copyright_theft"": 0.08, ""ai_mass_surveillance"": 0.17}"
user_0023,copyright_heavy,Mostly AI copyright / theft concerns,100,0.2712784952941711,0.5147429688787455,0.21397853582708348,0.11,0.8,0.09,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.11, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.09}"
user_0024,surveillance_heavy,Mostly AI mass surveillance,100,0.293241503122718,0.17297014706102126,0.5337883498162606,0.15,0.09,0.76,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.15, ""ai_copyright_theft"": 0.09, ""ai_mass_surveillance"": 0.76}"
user_0025,balanced,Even across all topics,100,0.382616236969494,0.27776273948396263,0.3396210235465434,0.32,0.31,0.37,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.32, ""ai_copyright_theft"": 0.31, ""ai_mass_surveillance"": 0.37}"
user_0026,coding_copyright,Split: coding + copyright,100,0.4615548821896951,0.33938442918148637,0.19906068862881857,0.47,0.44,0.09,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.47, ""ai_copyright_theft"": 0.44, ""ai_mass_surveillance"": 0.09}"
user_0027,coding_surveillance,Split: coding + surveillance,100,0.40397867515540636,0.17169347649949007,0.42432784834510356,0.36,0.09,0.55,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.36, ""ai_copyright_theft"": 0.09, ""ai_mass_surveillance"": 0.55}"
user_0028,copyright_surveillance,Split: copyright + surveillance,100,0.2822661274701042,0.3414514196144417,0.3762824529154539,0.13,0.44,0.43,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.13, ""ai_copyright_theft"": 0.44, ""ai_mass_surveillance"": 0.43}"
user_0029,coding_heavy,Mostly AI coding innovations,100,0.6149311349309752,0.1596411696271888,0.22542769544183602,0.76,0.07,0.17,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.76, ""ai_copyright_theft"": 0.07, ""ai_mass_surveillance"": 0.17}"
user_0030,copyright_heavy,Mostly AI copyright / theft concerns,100,0.2553976166729059,0.5389767339419491,0.20562564938514494,0.08,0.85,0.07,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.08, ""ai_copyright_theft"": 0.85, ""ai_mass_surveillance"": 0.07}"
user_0031,surveillance_heavy,Mostly AI mass surveillance,100,0.26161456763669766,0.1685246333677189,0.5698607989955835,0.09,0.08,0.83,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.09, ""ai_copyright_theft"": 0.08, ""ai_mass_surveillance"": 0.83}"
user_0032,balanced,Even across all topics,100,0.3456180506286977,0.31186023331398505,0.34252171605731724,0.25,0.38,0.37,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.25, ""ai_copyright_theft"": 0.38, ""ai_mass_surveillance"": 0.37}"
user_0033,coding_copyright,Split: coding + copyright,100,0.472174818666056,0.31040118124366356,0.2174240000902805,0.49,0.38,0.13,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.49, ""ai_copyright_theft"": 0.38, ""ai_mass_surveillance"": 0.13}"
user_0034,coding_surveillance,Split: coding + surveillance,100,0.4250101872117042,0.19550168470884988,0.37948812807944593,0.4,0.14,0.46,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.4, ""ai_copyright_theft"": 0.14, ""ai_mass_surveillance"": 0.46}"
user_0035,copyright_surveillance,Split: copyright + surveillance,100,0.2612223588904876,0.3224534881159648,0.4163241529935475,0.09,0.4,0.51,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.09, ""ai_copyright_theft"": 0.4, ""ai_mass_surveillance"": 0.51}"
user_0036,coding_heavy,Mostly AI coding innovations,100,0.6202043335991985,0.15958037579092538,0.2202152906098762,0.77,0.07,0.16,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.77, ""ai_copyright_theft"": 0.07, ""ai_mass_surveillance"": 0.16}"
user_0037,copyright_heavy,Mostly AI copyright / theft concerns,100,0.2607075849110864,0.5244851099730377,0.21480730511587603,0.09,0.82,0.09,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.09, ""ai_copyright_theft"": 0.82, ""ai_mass_surveillance"": 0.09}"
user_0038,surveillance_heavy,Mostly AI mass surveillance,100,0.26686325325828275,0.17808439295322087,0.5550523537884964,0.1,0.1,0.8,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}"
user_0039,balanced,Even across all topics,100,0.3615234422966007,0.2780059148290162,0.360470642874383,0.28,0.31,0.41,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.28, ""ai_copyright_theft"": 0.31, ""ai_mass_surveillance"": 0.41}"
user_0040,coding_copyright,Split: coding + copyright,100,0.41398578546581416,0.3832240641058012,0.20279015042838475,0.38,0.53,0.09,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.38, ""ai_copyright_theft"": 0.53, ""ai_mass_surveillance"": 0.09}"
user_0041,coding_surveillance,Split: coding + surveillance,100,0.44615200797787347,0.1760174025202656,0.377830589501861,0.44,0.1,0.46,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.44, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.46}"
user_0042,copyright_surveillance,Split: copyright + surveillance,100,0.31921528771762425,0.32659503262795,0.35418967965442577,0.2,0.41,0.39,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.2, ""ai_copyright_theft"": 0.41, ""ai_mass_surveillance"": 0.39}"
user_0043,coding_heavy,Mostly AI coding innovations,100,0.6307139613656877,0.17388961825104662,0.19539642038326563,0.79,0.1,0.11,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.79, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.11}"
user_0044,copyright_heavy,Mostly AI copyright / theft concerns,100,0.2607443544810436,0.5100542798403896,0.22920136567856678,0.09,0.79,0.12,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.09, ""ai_copyright_theft"": 0.79, ""ai_mass_surveillance"": 0.12}"
user_0045,surveillance_heavy,Mostly AI mass surveillance,100,0.28265833621631437,0.18752256486619603,0.5298190989174897,0.13,0.12,0.75,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.13, ""ai_copyright_theft"": 0.12, ""ai_mass_surveillance"": 0.75}"
user_0046,balanced,Even across all topics,100,0.3877913834511645,0.3161841593347606,0.29602445721407483,0.33,0.39,0.28,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.33, ""ai_copyright_theft"": 0.39, ""ai_mass_surveillance"": 0.28}"
user_0047,coding_copyright,Split: coding + copyright,100,0.46161616480629036,0.3153330456270729,0.22305078956663665,0.47,0.39,0.14,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.47, ""ai_copyright_theft"": 0.39, ""ai_mass_surveillance"": 0.14}"
user_0048,coding_surveillance,Split: coding + surveillance,100,0.4778402260804892,0.15641153265915447,0.36574824126035627,0.5,0.06,0.44,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.5, ""ai_copyright_theft"": 0.06, ""ai_mass_surveillance"": 0.44}"
user_0049,copyright_surveillance,Split: copyright + surveillance,100,0.2663117097089247,0.3945468449429415,0.33914144534813373,0.1,0.55,0.35,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.55, ""ai_mass_surveillance"": 0.35}"
user_0050,coding_heavy,Mostly AI coding innovations,100,0.6360116730805491,0.16420827099301785,0.19978005592643303,0.8,0.08,0.12,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.08, ""ai_mass_surveillance"": 0.12}"
user_0051,copyright_heavy,Mostly AI copyright / theft concerns,100,0.3082521685883292,0.4902660284704882,0.20148180294118248,0.18,0.75,0.07,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.18, ""ai_copyright_theft"": 0.75, ""ai_mass_surveillance"": 0.07}"
user_0052,surveillance_heavy,Mostly AI mass surveillance,100,0.2616145676366976,0.16852463336771895,0.5698607989955835,0.09,0.08,0.83,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.09, ""ai_copyright_theft"": 0.08, ""ai_mass_surveillance"": 0.83}"
user_0053,balanced,Even across all topics,100,0.37731852525463266,0.28744408674199134,0.33523738800337605,0.31,0.33,0.36,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.31, ""ai_copyright_theft"": 0.33, ""ai_mass_surveillance"": 0.36}"
user_0054,coding_copyright,Split: coding + copyright,100,0.45630619656811,0.32982466959598433,0.21386913383590567,0.46,0.42,0.12,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.46, ""ai_copyright_theft"": 0.42, ""ai_mass_surveillance"": 0.12}"
user_0055,coding_surveillance,Split: coding + surveillance,100,0.4619225778892671,0.19507612785500614,0.34300129425572673,0.47,0.14,0.39,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.47, ""ai_copyright_theft"": 0.14, ""ai_mass_surveillance"": 0.39}"
user_0056,copyright_surveillance,Split: copyright + surveillance,100,0.2717319866569768,0.3367627305760859,0.3915052827669373,0.11,0.43,0.46,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.11, ""ai_copyright_theft"": 0.43, ""ai_mass_surveillance"": 0.46}"
user_0057,coding_heavy,Mostly AI coding innovations,100,0.635962646987273,0.18344937783654858,0.18058797517617853,0.8,0.12,0.08,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.12, ""ai_mass_surveillance"": 0.08}"
user_0058,copyright_heavy,Mostly AI copyright / theft concerns,100,0.26600529662594774,0.5148037627150088,0.21919094065904338,0.1,0.8,0.1,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}"
user_0059,surveillance_heavy,Mostly AI mass surveillance,100,0.2985147017909413,0.17290935322475784,0.5285759449843008,0.16,0.09,0.75,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.16, ""ai_copyright_theft"": 0.09, ""ai_mass_surveillance"": 0.75}"
user_0060,balanced,Even across all topics,100,0.3931013516893451,0.3016925353658492,0.30520611294480554,0.34,0.36,0.3,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.34, ""ai_copyright_theft"": 0.36, ""ai_mass_surveillance"": 0.3}"
user_0061,coding_copyright,Split: coding + copyright,100,0.4404375744701641,0.3492481579483052,0.21031426758153074,0.43,0.46,0.11,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.43, ""ai_copyright_theft"": 0.46, ""ai_mass_surveillance"": 0.11}"
user_0062,coding_surveillance,Split: coding + surveillance,100,0.4777789434638941,0.18046291621356786,0.3417581403225381,0.5,0.11,0.39,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.5, ""ai_copyright_theft"": 0.11, ""ai_mass_surveillance"": 0.39}"
user_0063,copyright_surveillance,Split: copyright + surveillance,100,0.2453169672225843,0.35630780660093364,0.39837522617648197,0.06,0.47,0.47,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.06, ""ai_copyright_theft"": 0.47, ""ai_mass_surveillance"": 0.47}"
user_0064,coding_heavy,Mostly AI coding innovations,100,0.6253917366041882,0.19319151893084083,0.18141674446497105,0.78,0.14,0.08,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.78, ""ai_copyright_theft"": 0.14, ""ai_mass_surveillance"": 0.08}"
user_0065,copyright_heavy,Mostly AI copyright / theft concerns,100,0.2765271809157562,0.5243027284642475,0.19917009061999633,0.12,0.82,0.06,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.12, ""ai_copyright_theft"": 0.82, ""ai_mass_surveillance"": 0.06}"
user_0066,surveillance_heavy,Mostly AI mass surveillance,100,0.2826828492629525,0.17790201144443074,0.5394151392926168,0.13,0.1,0.77,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.13, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.77}"
user_0067,balanced,Even across all topics,100,0.3772327295913991,0.32111602371817,0.3016512466904309,0.31,0.4,0.29,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.31, ""ai_copyright_theft"": 0.4, ""ai_mass_surveillance"": 0.29}"
user_0068,coding_copyright,Split: coding + copyright,100,0.42986666408707924,0.3589902990425975,0.2111430368703233,0.41,0.48,0.11,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.41, ""ai_copyright_theft"": 0.48, ""ai_mass_surveillance"": 0.11}"
user_0069,coding_surveillance,Split: coding + surveillance,100,0.45664937922104365,0.1951369216912695,0.3482136990876869,0.46,0.14,0.4,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.46, ""ai_copyright_theft"": 0.14, ""ai_mass_surveillance"": 0.4}"
user_0070,copyright_surveillance,Split: copyright + surveillance,100,0.2664955575587108,0.32239269427970124,0.4111117481615879,0.1,0.4,0.5,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.4, ""ai_mass_surveillance"": 0.5}"
user_0071,coding_heavy,Mostly AI coding innovations,100,0.6465703269403147,0.15927640660960835,0.19415326645007688,0.82,0.07,0.11,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.82, ""ai_copyright_theft"": 0.07, ""ai_mass_surveillance"": 0.11}"
user_0072,copyright_heavy,Mostly AI copyright / theft concerns,100,0.27130300834080917,0.50512241545698,0.22357457620221075,0.11,0.78,0.11,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.11, ""ai_copyright_theft"": 0.78, ""ai_mass_surveillance"": 0.11}"
user_0073,surveillance_heavy,Mostly AI mass surveillance,100,0.2562310602586028,0.21187791760192645,0.5318910221394708,0.08,0.17,0.75,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.08, ""ai_copyright_theft"": 0.17, ""ai_mass_surveillance"": 0.75}"
user_0074,balanced,Even across all topics,100,0.4037212881657061,0.27270928742802625,0.3235694244062676,0.36,0.3,0.34,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.36, ""ai_copyright_theft"": 0.3, ""ai_mass_surveillance"": 0.34}"
user_0075,coding_copyright,Split: coding + copyright,100,0.47213804909609886,0.3248320113763115,0.20302993952758966,0.49,0.41,0.1,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.49, ""ai_copyright_theft"": 0.41, ""ai_mass_surveillance"": 0.1}"
user_0076,coding_surveillance,Split: coding + surveillance,100,0.44617652102451144,0.16639684909850025,0.38742662987698834,0.44,0.08,0.48,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.44, ""ai_copyright_theft"": 0.08, ""ai_mass_surveillance"": 0.48}"
